number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
150,0.0,2025-03-18 11:40:57.522520,2025-03-18 11:41:31.450164,0 days 00:00:33.927644,90,LDA,AB,BorderlineSMOTE,QT,COMPLETE
151,0.7940599033178268,2025-03-18 11:40:57.648027,2025-03-18 11:42:04.648601,0 days 00:01:07.000574,90,ANOVA,AB,BorderlineSMOTE,Robust,COMPLETE
152,0.7165410368450226,2025-03-18 11:40:58.795406,2025-03-18 11:41:44.183408,0 days 00:00:45.388002,90,ANOVA,AB,,Robust,COMPLETE
153,0.7206748041494342,2025-03-18 11:40:59.172363,2025-03-18 11:41:36.186055,0 days 00:00:37.013692,90,ANOVA,AB,ADASYN,Robust,COMPLETE
154,0.6852347622690302,2025-03-18 11:41:00.429348,2025-03-18 11:41:38.114046,0 days 00:00:37.684698,90,ANOVA,AB,ADASYN,Robust,COMPLETE
155,0.7424191940079234,2025-03-18 11:41:02.863343,2025-03-18 11:41:55.314386,0 days 00:00:52.451043,90,ANOVA,AB,,Robust,COMPLETE
156,0.7788780663778272,2025-03-18 11:41:03.067480,2025-03-18 11:41:40.204578,0 days 00:00:37.137098,90,ANOVA,AB,ADASYN,Robust,COMPLETE
157,0.6875029055009605,2025-03-18 11:41:03.287349,2025-03-18 11:42:07.760196,0 days 00:01:04.472847,30,MI,SGD,,Robust,COMPLETE
158,0.6679681756151743,2025-03-18 11:41:09.718774,2025-03-18 11:41:37.784214,0 days 00:00:28.065440,90,ANOVA,AB,ADASYN,Robust,COMPLETE
159,0.7193246674074238,2025-03-18 11:41:12.396889,2025-03-18 11:41:48.032992,0 days 00:00:35.636103,90,ANOVA,AB,,Robust,COMPLETE
160,0.6741883116882479,2025-03-18 11:41:13.382556,2025-03-18 11:41:40.376946,0 days 00:00:26.994390,90,ANOVA,AB,ADASYN,Robust,COMPLETE
161,0.7313283768289071,2025-03-18 11:41:13.649158,2025-03-18 11:42:13.006104,0 days 00:00:59.356946,90,ANOVA,DT,,Robust,COMPLETE
162,0.7368442445943069,2025-03-18 11:41:14.104957,2025-03-18 11:42:26.818269,0 days 00:01:12.713312,90,RFE,AB,,QT,COMPLETE
163,0.6661304179411259,2025-03-18 11:41:14.356126,2025-03-18 11:41:40.376946,0 days 00:00:26.020820,90,ANOVA,AB,ADASYN,Robust,COMPLETE
164,0.7550726908167582,2025-03-18 11:41:15.280481,2025-03-18 11:41:48.363659,0 days 00:00:33.083178,90,ANOVA,AB,,Robust,COMPLETE
