number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
88,0.7668104417609997,2025-03-18 12:25:25.827704,2025-03-18 12:26:05.859701,0 days 00:00:40.031997,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
89,0.7329956230887913,2025-03-18 12:25:25.984986,2025-03-18 12:26:49.520664,0 days 00:01:23.535678,60,,DT,SMOTE,Standard,COMPLETE
90,0.7538076760636327,2025-03-18 12:25:26.157491,2025-03-18 12:26:20.259965,0 days 00:00:54.102474,60,,DT,SMOTE,Standard,COMPLETE
91,0.7735982127741543,2025-03-18 12:25:26.385202,2025-03-18 12:25:58.086251,0 days 00:00:31.701049,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
92,0.7837900370735615,2025-03-18 12:25:28.788711,2025-03-18 12:26:07.964623,0 days 00:00:39.175912,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
93,0.7011643615492904,2025-03-18 12:25:29.183047,2025-03-18 12:26:59.937296,0 days 00:01:30.754249,60,PCA,MLP,SMOTE,,COMPLETE
94,0.7864826839825096,2025-03-18 12:25:29.416963,2025-03-18 12:26:55.539517,0 days 00:01:26.122554,60,PCA,RF,SMOTE,Standard,COMPLETE
95,0.8157961872436473,2025-03-18 12:25:30.045081,2025-03-18 12:26:12.256889,0 days 00:00:42.211808,40,ANOVA,ETs,BorderlineSMOTE,Standard,COMPLETE
96,0.7671164008259714,2025-03-18 12:25:30.563501,2025-03-18 12:27:06.287280,0 days 00:01:35.723779,60,PCA,RF,SMOTE,Standard,COMPLETE
97,0.8052481476075807,2025-03-18 12:25:36.006741,2025-03-18 12:26:15.445839,0 days 00:00:39.439098,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
98,0.7430647840531204,2025-03-18 12:25:36.762274,2025-03-18 12:26:26.153128,0 days 00:00:49.390854,60,PCA,DT,SMOTE,Standard,COMPLETE
99,0.7968772426325257,2025-03-18 12:25:37.029336,2025-03-18 12:26:23.529877,0 days 00:00:46.500541,40,,ETs,SMOTE,Standard,COMPLETE
100,0.7599265249336045,2025-03-18 12:25:37.707006,2025-03-18 12:26:24.676703,0 days 00:00:46.969697,60,,DT,SMOTE,Standard,COMPLETE
101,0.7541585076840578,2025-03-18 12:25:41.924440,2025-03-18 12:26:29.469110,0 days 00:00:47.544670,60,PCA,DT,SMOTE,Standard,COMPLETE
102,0.7386376044868714,2025-03-18 12:25:43.319082,2025-03-18 12:26:25.587296,0 days 00:00:42.268214,60,PCA,DT,SMOTE,Standard,COMPLETE
103,0.8117885078371352,2025-03-18 12:25:45.251914,2025-03-18 12:27:05.894274,0 days 00:01:20.642360,20,PCA,RF,BorderlineSMOTE,Standard,COMPLETE
104,0.7628014592932992,2025-03-18 12:25:50.761801,2025-03-18 12:27:15.948946,0 days 00:01:25.187145,60,PCA,DT,ADASYN,,COMPLETE
105,0.7314723428173635,2025-03-18 12:25:51.959665,2025-03-18 12:26:51.429887,0 days 00:00:59.470222,60,PCA,DT,ADASYN,Standard,COMPLETE
106,0.77992844607141,2025-03-18 12:25:53.509750,2025-03-18 12:27:23.203675,0 days 00:01:29.693925,20,PCA,RF,ADASYN,,COMPLETE
107,0.7885079051382798,2025-03-18 12:25:55.773079,2025-03-18 12:27:00.630873,0 days 00:01:04.857794,60,PCA,RF,SMOTE,Standard,COMPLETE
108,0.761948807006868,2025-03-18 12:25:57.756097,2025-03-18 12:27:13.120748,0 days 00:01:15.364651,60,PCA,DT,SMOTE,Standard,COMPLETE
109,0.7488243537036076,2025-03-18 12:26:01.625262,2025-03-18 12:27:35.825463,0 days 00:01:34.200201,60,PCA,RF,ADASYN,,COMPLETE
110,0.7212708858720493,2025-03-18 12:26:03.824002,2025-03-18 12:26:57.346287,0 days 00:00:53.522285,60,PCA,DT,SMOTE,Standard,COMPLETE
111,0.7912231182794098,2025-03-18 12:26:07.839069,2025-03-18 12:27:28.046220,0 days 00:01:20.207151,70,RFE,RF,ADASYN,,COMPLETE
112,0.7817095933577575,2025-03-18 12:26:08.467468,2025-03-18 12:27:54.269043,0 days 00:01:45.801575,20,RFE,RF,ADASYN,,COMPLETE
113,0.7864826839825096,2025-03-18 12:26:08.606554,2025-03-18 12:27:37.790674,0 days 00:01:29.184120,20,PCA,RF,ADASYN,,COMPLETE
114,0.8168348891660864,2025-03-18 12:26:10.415645,2025-03-18 12:27:36.139509,0 days 00:01:25.723864,70,RFE,RF,ADASYN,,COMPLETE
115,0.8042997883928539,2025-03-18 12:26:11.943508,2025-03-18 12:27:09.043419,0 days 00:00:57.099911,60,PCA,MLP,ADASYN,,COMPLETE
116,0.7797951287981286,2025-03-18 12:26:13.435032,2025-03-18 12:27:46.265652,0 days 00:01:32.830620,20,RFE,RF,ADASYN,,COMPLETE
117,0.7596320346318908,2025-03-18 12:26:13.859695,2025-03-18 12:27:13.513617,0 days 00:00:59.653922,20,PCA,MLP,ADASYN,Standard,COMPLETE
118,0.7940476190475072,2025-03-18 12:26:15.194202,2025-03-18 12:27:35.641521,0 days 00:01:20.447319,70,RFE,RF,ADASYN,,COMPLETE
119,0.8025371437368107,2025-03-18 12:26:18.172051,2025-03-18 12:27:35.842113,0 days 00:01:17.670062,20,ANOVA,SGD,BorderlineSMOTE,MinMax,COMPLETE
120,0.7676669227858481,2025-03-18 12:26:19.396410,2025-03-18 12:27:58.045935,0 days 00:01:38.649525,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
121,0.7467441307722948,2025-03-18 12:26:20.652741,2025-03-18 12:27:42.558183,0 days 00:01:21.905442,90,RFE,RF,ADASYN,,COMPLETE
122,0.787438596832168,2025-03-18 12:26:20.856940,2025-03-18 12:27:56.453665,0 days 00:01:35.596725,20,RFE,RF,BorderlineSMOTE,,COMPLETE
123,0.0,2025-03-18 12:26:21.036429,2025-03-18 12:27:49.398245,0 days 00:01:28.361816,90,RF,MLP,BorderlineSMOTE,MinMax,COMPLETE
124,0.0,2025-03-18 12:26:22.744196,2025-03-18 12:27:42.229586,0 days 00:01:19.485390,20,RF,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
125,0.736515965918124,2025-03-18 12:26:23.090156,2025-03-18 12:27:23.957499,0 days 00:01:00.867343,90,RFE,RF,ADASYN,MinMax,COMPLETE
126,0.7962023344750931,2025-03-18 12:26:24.393868,2025-03-18 12:27:54.962183,0 days 00:01:30.568315,20,RFE,RF,ADASYN,,COMPLETE
127,0.710756410407369,2025-03-18 12:26:25.178799,2025-03-18 12:27:49.885231,0 days 00:01:24.706432,40,ANOVA,SGD,BorderlineSMOTE,Normalizer,COMPLETE
128,0.34285714285724567,2025-03-18 12:26:25.744110,2025-03-18 12:27:37.397790,0 days 00:01:11.653680,20,ANOVA,SGD,BorderlineSMOTE,Normalizer,COMPLETE
129,0.0,2025-03-18 12:26:26.350808,2025-03-18 12:27:37.790674,0 days 00:01:11.439866,20,RF,SGD,BorderlineSMOTE,MinMax,COMPLETE
130,0.7711032461030453,2025-03-18 12:26:28.934827,2025-03-18 12:27:57.731946,0 days 00:01:28.797119,20,RFE,RF,BorderlineSMOTE,,COMPLETE
131,0.7227489177489578,2025-03-18 12:26:31.341480,2025-03-18 12:27:47.340658,0 days 00:01:15.999178,40,ANOVA,SGD,BorderlineSMOTE,Normalizer,COMPLETE
132,0.0,2025-03-18 12:26:32.984068,2025-03-18 12:27:27.045041,0 days 00:00:54.060973,20,RF,MLP,BorderlineSMOTE,MinMax,COMPLETE
133,0.0,2025-03-18 12:26:35.761712,2025-03-18 12:27:48.518746,0 days 00:01:12.757034,20,RF,SGD,BorderlineSMOTE,MinMax,COMPLETE
134,0.0,2025-03-18 12:26:37.301279,2025-03-18 12:27:42.261162,0 days 00:01:04.959883,20,RF,SGD,BorderlineSMOTE,MaxAbs,COMPLETE
135,0.8280428873449843,2025-03-18 12:26:39.436623,2025-03-18 12:28:00.323647,0 days 00:01:20.887024,70,MI,ETs,BorderlineSMOTE,Standard,COMPLETE
136,0.6809942468191632,2025-03-18 12:26:40.708728,2025-03-18 12:27:51.481838,0 days 00:01:10.773110,20,ANOVA,SGD,BorderlineSMOTE,MaxAbs,COMPLETE
137,0.7865094918680888,2025-03-18 12:26:44.944838,2025-03-18 12:28:04.818805,0 days 00:01:19.873967,70,MI,ETs,BorderlineSMOTE,MaxAbs,COMPLETE
138,0.0,2025-03-18 12:26:46.839958,2025-03-18 12:28:01.979291,0 days 00:01:15.139333,20,RF,SGD,BorderlineSMOTE,MaxAbs,COMPLETE
139,0.7896670863029064,2025-03-18 12:26:48.861459,2025-03-18 12:27:42.245595,0 days 00:00:53.384136,20,ANOVA,SGD,BorderlineSMOTE,MaxAbs,COMPLETE
140,0.7493074403748653,2025-03-18 12:26:52.771782,2025-03-18 12:27:59.004298,0 days 00:01:06.232516,70,ANOVA,ETs,BorderlineSMOTE,Normalizer,COMPLETE
141,0.7809735787286958,2025-03-18 12:26:54.799194,2025-03-18 12:28:26.055001,0 days 00:01:31.255807,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
142,0.8132498546613812,2025-03-18 12:26:59.248086,2025-03-18 12:27:48.031802,0 days 00:00:48.783716,40,ANOVA,SGD,BorderlineSMOTE,MaxAbs,COMPLETE
143,0.8099769212267682,2025-03-18 12:27:01.715233,2025-03-18 12:28:03.973755,0 days 00:01:02.258522,40,ANOVA,SGD,BorderlineSMOTE,MaxAbs,COMPLETE
144,0.7783568592726121,2025-03-18 12:27:03.223543,2025-03-18 12:28:00.166268,0 days 00:00:56.942725,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
145,0.796855476532285,2025-03-18 12:27:04.370034,2025-03-18 12:28:20.840489,0 days 00:01:16.470455,40,,ETs,BorderlineSMOTE,MaxAbs,COMPLETE
146,0.8201230333910482,2025-03-18 12:27:11.242111,2025-03-18 12:28:15.299753,0 days 00:01:04.057642,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
147,0.7707789306078692,2025-03-18 12:27:12.781893,2025-03-18 12:27:56.280858,0 days 00:00:43.498965,40,,ETs,BorderlineSMOTE,MaxAbs,COMPLETE
148,0.7884161068815152,2025-03-18 12:27:24.774119,2025-03-18 12:28:01.108259,0 days 00:00:36.334140,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
