number,value,datetime_start,datetime_complete,duration,params_model,params_normTechnique,params_sampleTechnique,user_attrs_binIndices,user_attrs_hyperparams,state
50,0.6838709675213319,2024-07-08 12:33:48.544919,2024-07-08 12:35:59.482328,0 days 00:02:10.937409,BaggingClassifier,Normalize_L1_0,BorderlineSMOTE,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0]","{'n_estimators': 1000, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
51,0.7741935481373569,2024-07-08 12:33:48.732880,2024-07-08 12:34:08.641123,0 days 00:00:19.908243,KNeighborsClassifier,Normalize_Max_0,TomekLinks,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0]","{'n_neighbors': 15, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 50, 'p': 1, 'metric': 'euclidean'}",COMPLETE
52,0.0,2024-07-08 12:33:49.235884,2024-07-08 12:34:18.310118,0 days 00:00:29.074234,BaggingClassifier,Normalize_L1_0,KMeansSMOTE,,"{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
53,0.7774193545879292,2024-07-08 12:33:50.395932,2024-07-08 12:34:29.181373,0 days 00:00:38.785441,BaggingClassifier,Normalize_L1_1,TomekLinks,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","{'n_estimators': 1000, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
54,0.41935483857440164,2024-07-08 12:33:50.960885,2024-07-08 12:34:18.126118,0 days 00:00:27.165233,BaggingClassifier,Normalize_L1_1,SMOTEENN,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
55,0.0,2024-07-08 12:33:54.179924,2024-07-08 12:34:27.138135,0 days 00:00:32.958211,BaggingClassifier,Normalize_L1_0,KMeansSMOTE,,"{'n_estimators': 1000, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
56,0.0,2024-07-08 12:34:04.595881,2024-07-08 12:34:15.768119,0 days 00:00:11.172238,ExtraTreesClassifier,Normalize_L1_0,KMeansSMOTE,,"{'n_estimators': 200, 'max_features': 'log2', 'max_depth': 10, 'min_samples_split': 100, 'min_samples_leaf': 5, 'bootstrap': True}",COMPLETE
57,0.0,2024-07-08 12:34:04.957883,2024-07-08 12:34:24.407122,0 days 00:00:19.449239,ExtraTreesClassifier,Normalize_L1_0,KMeansSMOTE,,"{'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': 200, 'min_samples_split': 200, 'min_samples_leaf': 2, 'bootstrap': False}",COMPLETE
58,0.22580645154006243,2024-07-08 12:34:05.472988,2024-07-08 12:34:51.768579,0 days 00:00:46.295591,ExtraTreesClassifier,Normalize_L1_0,RandomOverSampler,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 50, 'min_samples_split': 50, 'min_samples_leaf': 1, 'bootstrap': True}",COMPLETE
59,0.7193548384776274,2024-07-08 12:34:05.722037,2024-07-08 12:34:41.307374,0 days 00:00:35.585337,BaggingClassifier,Normalize_L1_0,BorderlineSMOTE,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
60,0.0,2024-07-08 12:34:07.882124,2024-07-08 12:34:23.989120,0 days 00:00:16.106996,ExtraTreesClassifier,Normalize_L1_0,KMeansSMOTE,,"{'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': 500, 'min_samples_split': 50, 'min_samples_leaf': 10, 'bootstrap': False}",COMPLETE
61,0.332258064408949,2024-07-08 12:34:09.748119,2024-07-08 12:34:59.179580,0 days 00:00:49.431461,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{'n_estimators': 1000, 'learning_rate': 10.0, 'algorithm': 'SAMME.R'}",COMPLETE
62,0.22903225799063473,2024-07-08 12:34:10.425122,2024-07-08 12:34:45.406374,0 days 00:00:34.981252,ExtraTreesClassifier,Normalize_L1_0,RandomOverSampler,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","{'n_estimators': 1000, 'max_features': 'log2', 'max_depth': 200, 'min_samples_split': 10, 'min_samples_leaf': 100, 'bootstrap': True}",COMPLETE
63,0.22903225799063473,2024-07-08 12:34:11.053120,2024-07-08 12:34:41.155378,0 days 00:00:30.102258,ExtraTreesClassifier,Normalize_L1_0,RandomOverSampler,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 100, 'min_samples_split': 200, 'min_samples_leaf': 50, 'bootstrap': True}",COMPLETE
64,0.22903225799063473,2024-07-08 12:34:11.174118,2024-07-08 12:34:48.594373,0 days 00:00:37.420255,ExtraTreesClassifier,Normalize_L1_0,RandomOverSampler,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]","{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 50, 'min_samples_split': 200, 'min_samples_leaf': 1, 'bootstrap': True}",COMPLETE
65,0.5161290320915712,2024-07-08 12:34:11.298120,2024-07-08 12:34:52.905581,0 days 00:00:41.607461,KNeighborsClassifier,MaxAbsScaler,SMOTE,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]","{'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 20, 'p': 2, 'metric': 'minkowski'}",COMPLETE
66,0.34516129021123826,2024-07-08 12:34:11.478120,2024-07-08 12:34:44.869375,0 days 00:00:33.391255,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","{'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME'}",COMPLETE
67,0.5903225804547346,2024-07-08 12:34:11.780118,2024-07-08 12:34:53.254579,0 days 00:00:41.474461,DecisionTreeClassifier,MaxAbsScaler,SMOTE,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","{'max_depth': 500, 'min_samples_split': 100, 'min_samples_leaf': 10, 'max_features': None, 'splitter': 'best'}",COMPLETE
68,0.6451612901144641,2024-07-08 12:34:12.107118,2024-07-08 12:34:53.991581,0 days 00:00:41.884463,KNeighborsClassifier,Normalize_L1_1,SMOTE,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1]","{'n_neighbors': 20, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 20, 'p': 1, 'metric': 'minkowski'}",COMPLETE
69,0.5903225804547346,2024-07-08 12:34:12.445121,2024-07-08 12:34:52.861581,0 days 00:00:40.416460,DecisionTreeClassifier,Normalize_L1_1,SMOTE,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]","{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 50, 'max_features': None, 'splitter': 'random'}",COMPLETE
70,0.34193548376066596,2024-07-08 12:34:12.652118,2024-07-08 12:34:59.565578,0 days 00:00:46.913460,AdaBoostClassifier,Normalize_Max_0,SMOTE,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]","{'n_estimators': 200, 'learning_rate': 10.0, 'algorithm': 'SAMME'}",COMPLETE
71,0.4161290321238293,2024-07-08 12:34:12.749118,2024-07-08 12:34:44.674377,0 days 00:00:31.925259,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]","{'n_estimators': 200, 'learning_rate': 1.0, 'algorithm': 'SAMME'}",COMPLETE
72,0.7806451610385015,2024-07-08 12:34:13.008119,2024-07-08 12:34:58.300577,0 days 00:00:45.292458,XGBClassifier,Normalize_L2_0,,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
73,0.34516129021123826,2024-07-08 12:34:13.662117,2024-07-08 12:34:54.588580,0 days 00:00:40.926463,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]","{'n_estimators': 10, 'learning_rate': 0.1, 'algorithm': 'SAMME'}",COMPLETE
74,0.7935483868407908,2024-07-08 12:34:13.945119,2024-07-08 12:35:01.143582,0 days 00:00:47.198463,XGBClassifier,Normalize_L2_0,,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1]","{'n_estimators': 10, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",COMPLETE
75,0.7935483868407908,2024-07-08 12:34:14.144118,2024-07-08 12:35:00.908578,0 days 00:00:46.764460,XGBClassifier,Normalize_L2_0,,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","{'n_estimators': 50, 'learning_rate': 1.0, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'gamma': 1.0, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",COMPLETE
76,0.7935483868407908,2024-07-08 12:34:14.836118,2024-07-08 12:34:51.586578,0 days 00:00:36.750460,AdaBoostClassifier,Normalize_Max_0,,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1]","{'n_estimators': 100, 'learning_rate': 0.1, 'algorithm': 'SAMME'}",COMPLETE
77,0.3387096773100936,2024-07-08 12:34:15.078117,2024-07-08 12:34:45.818374,0 days 00:00:30.740257,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]","{'n_estimators': 10, 'learning_rate': 0.1, 'algorithm': 'SAMME'}",COMPLETE
78,0.7032258062247658,2024-07-08 12:34:15.254118,2024-07-08 12:34:54.353577,0 days 00:00:39.099459,KNeighborsClassifier,Normalize_L1_1,,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]","{'n_neighbors': 3, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 60, 'p': 2, 'metric': 'euclidean'}",COMPLETE
79,0.5516129030478668,2024-07-08 12:34:15.921118,2024-07-08 12:34:57.253579,0 days 00:00:41.332461,ExtraTreesClassifier,Normalize_Max_0,RandomOverSampler,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]","{'n_estimators': 2000, 'max_features': 'log2', 'max_depth': 1000, 'min_samples_split': 50, 'min_samples_leaf': 2, 'bootstrap': True}",COMPLETE
80,0.7225806449281997,2024-07-08 12:34:16.080117,2024-07-08 12:35:00.493582,0 days 00:00:44.413465,XGBClassifier,Normalize_Max_1,,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'gamma': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",COMPLETE
81,0.34516129021123826,2024-07-08 12:34:16.243119,2024-07-08 12:34:45.368376,0 days 00:00:29.125257,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]","{'n_estimators': 10, 'learning_rate': 0.1, 'algorithm': 'SAMME.R'}",COMPLETE
82,0.5387096772455775,2024-07-08 12:34:16.808118,2024-07-08 12:34:53.331577,0 days 00:00:36.523459,DecisionTreeClassifier,MaxAbsScaler,SMOTE,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]","{'max_depth': 1000, 'min_samples_split': 200, 'min_samples_leaf': 2, 'max_features': None, 'splitter': 'random'}",COMPLETE
83,0.5064516127398543,2024-07-08 12:34:18.976118,2024-07-08 12:34:52.269582,0 days 00:00:33.293464,DecisionTreeClassifier,MaxAbsScaler,SMOTE,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1]","{'max_depth': 200, 'min_samples_split': 200, 'min_samples_leaf': 50, 'max_features': 'log2', 'splitter': 'best'}",COMPLETE
84,0.6838709675213319,2024-07-08 12:34:20.186118,2024-07-08 12:34:50.492551,0 days 00:00:30.306433,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]","{'n_estimators': 50, 'learning_rate': 10.0, 'algorithm': 'SAMME'}",COMPLETE
85,0.5161290320915712,2024-07-08 12:34:20.713130,2024-07-08 12:34:57.885580,0 days 00:00:37.172450,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","{'n_estimators': 200, 'learning_rate': 0.1, 'algorithm': 'SAMME.R'}",COMPLETE
86,0.5516129030478668,2024-07-08 12:34:22.693121,2024-07-08 12:34:52.969582,0 days 00:00:30.276461,DecisionTreeClassifier,MaxAbsScaler,SMOTE,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]","{'max_depth': None, 'min_samples_split': 50, 'min_samples_leaf': 2, 'max_features': None, 'splitter': 'best'}",COMPLETE
87,0.7935483868407908,2024-07-08 12:34:23.797119,2024-07-08 12:34:57.645580,0 days 00:00:33.848461,XGBClassifier,Normalize_L2_0,,"[0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]","{'n_estimators': 10, 'learning_rate': 1.0, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'gamma': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
88,0.7935483868407908,2024-07-08 12:34:26.679120,2024-07-08 12:35:00.575580,0 days 00:00:33.896460,XGBClassifier,Normalize_L2_0,,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]","{'n_estimators': 500, 'learning_rate': 10.0, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 0.0, 'reg_alpha': 1.0, 'reg_lambda': 0.0}",COMPLETE
89,0.6903225804224765,2024-07-08 12:34:27.458133,2024-07-08 12:34:57.915581,0 days 00:00:30.457448,XGBClassifier,Normalize_L1_1,,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","{'n_estimators': 500, 'learning_rate': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'gamma': 0.0, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",COMPLETE
90,0.7935483868407908,2024-07-08 12:34:28.845376,2024-07-08 12:34:57.648579,0 days 00:00:28.803203,XGBClassifier,Normalize_L1_1,,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0]","{'n_estimators': 10, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.5, 'reg_alpha': 0.1, 'reg_lambda': 0.0}",COMPLETE
91,0.7774193545879292,2024-07-08 12:34:29.629373,2024-07-08 12:34:58.413581,0 days 00:00:28.784208,XGBClassifier,Normalize_Max_1,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","{'n_estimators': 500, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 1.0, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",COMPLETE
92,0.5838709675535899,2024-07-08 12:34:30.255373,2024-07-08 12:34:53.182608,0 days 00:00:22.927235,DecisionTreeClassifier,MaxAbsScaler,SMOTE,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","{'max_depth': 200, 'min_samples_split': 100, 'min_samples_leaf': 10, 'max_features': None, 'splitter': 'random'}",COMPLETE
93,0.6935483868730489,2024-07-08 12:34:36.949373,2024-07-08 12:34:57.011578,0 days 00:00:20.062205,XGBClassifier,Normalize_L1_1,,"[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","{'n_estimators': 100, 'learning_rate': 0.5, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
94,0.7096774191259104,2024-07-08 12:34:37.709373,2024-07-08 12:34:57.280578,0 days 00:00:19.571205,DecisionTreeClassifier,MaxAbsScaler,,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]","{'max_depth': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'splitter': 'random'}",COMPLETE
95,0.7935483868407908,2024-07-08 12:34:38.328373,2024-07-08 12:34:54.506581,0 days 00:00:16.178208,XGBClassifier,MaxAbsScaler,,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]","{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
96,0.6935483868730489,2024-07-08 12:34:38.983381,2024-07-08 12:35:07.166576,0 days 00:00:28.183195,XGBClassifier,Normalize_Max_1,,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1]","{'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 0.1, 'reg_lambda': 1.0}",COMPLETE
